date,spx_ret,ust10_chg,hy_oas,vix
2005-04-11,0.0045,0.03,3.51,12.35
2005-04-12,-0.00316,0.038,3.51,12.72
2005-04-13,0.0007,0.05,3.51,11.9
2005-04-14,0.00445,0.062,3.51,12.2
2005-04-15,0.00417,-0.005,3.51,12.16
2005-04-18,0.00592,-0.022,3.51,12.57
2005-04-19,-0.00019,0.044,3.51,13.98
2005-04-20,-0.00279,0.019,3.51,13.61
2005-04-21,-4e-05,-0.049,3.51,15.32
2005-04-22,-0.0129,-0.051,3.51,14.82
2005-04-25,-0.01098,0.01,3.51,15.93
2005-04-26,-0.00998,-0.017,3.51,13.84
2005-04-27,-0.00738,-0.011,3.51,13.81
2005-04-28,0.0038,0.033,3.51,12.27
2005-04-29,-0.00664,0.02,3.51,14.24
2005-05-02,-0.00243,0.043,3.51,12.02
2005-05-03,0.01099,-0.087,3.51,10.79
2005-05-04,-0.00225,0.0,3.51,15.29
2005-05-05,0.0065,0.018,3.51,11.13
2005-05-06,-0.00687,-0.071,3.51,13.66
2005-05-09,-0.00104,-0.036,3.51,11.68
2005-05-10,-0.007,-0.044,3.51,14.69
2005-05-11,-0.00211,-0.009,3.5,14.89
2005-05-12,0.00732,0.055,3.5,13.79
2005-05-13,-0.01322,0.071,3.51,14.87
2005-05-16,0.00408,-0.043,3.51,13.01
2005-05-17,0.0025,0.011,3.5,16.35
2005-05-18,-0.00415,0.012,3.51,14.12
2005-05-19,-0.01097,0.006,3.51,11.65
2005-05-20,0.00118,0.006,3.5,13.1
2005-05-23,-0.00364,0.002,3.5,12.77
2005-05-24,0.00246,0.058,3.5,12.62
2005-05-25,0.00077,0.034,3.5,10.51
2005-05-26,0.01341,-0.052,3.5,13.58
2005-05-27,-0.00131,0.022,3.5,10.92
2005-05-30,-0.00759,0.026,3.5,9.21
2005-05-31,0.00203,0.003,3.5,12.48
2005-06-01,0.00236,0.035,3.5,11.87
2005-06-02,0.01147,-0.002,3.5,11.71
2005-06-03,0.00728,-0.002,3.5,9.0
2005-06-06,0.00345,-0.005,3.5,11.72
2005-06-07,0.01231,-0.091,3.5,12.74
2005-06-08,-0.00891,-0.013,3.5,12.05
2005-06-09,-0.00452,-0.037,3.5,13.58
2005-06-10,-0.00681,-0.057,3.5,15.09
2005-06-13,-0.00252,0.047,3.5,13.77
2005-06-14,-0.01041,0.01,3.5,14.54
2005-06-15,0.00568,-0.011,3.5,14.66
2005-06-16,-0.00118,-0.033,3.5,11.47
2005-06-17,-0.01117,0.002,3.5,13.66
2005-06-20,-0.00752,0.03,3.5,14.49
2005-06-21,0.00311,-0.043,3.5,12.35
2005-06-22,0.00731,-0.01,3.5,11.81
2005-06-23,0.01657,0.025,3.5,13.8
2005-06-24,0.02391,-0.087,3.5,10.78
2005-06-27,0.00392,-0.012,3.5,11.37
2005-06-28,-0.00732,-0.027,3.5,12.0
2005-06-29,-0.01646,-0.015,3.5,13.68
2005-06-30,0.00274,-0.03,3.5,13.33
2005-07-01,-0.0059,-0.004,3.5,14.55
2005-07-04,-0.00272,0.067,3.5,11.62
2005-07-05,-0.0043,-0.023,3.5,11.54
2005-07-06,-0.00053,0.002,3.5,13.79
2005-07-07,0.00913,0.07,3.5,11.8
2005-07-08,0.00186,-0.032,3.5,12.09
2005-07-11,-0.00067,0.063,3.5,10.21
2005-07-12,-0.00769,-0.01,3.5,13.44
2005-07-13,-0.0128,0.061,3.5,15.31
2005-07-14,-0.00329,0.02,3.5,11.46
2005-07-15,0.00017,0.002,3.5,14.53
2005-07-18,0.01474,-0.013,3.5,12.91
2005-07-19,0.00164,-0.035,3.5,10.35
2005-07-20,0.00846,-0.007,3.5,11.66
2005-07-21,-0.00339,0.026,3.5,11.57
2005-07-22,-0.00888,-0.011,3.5,12.53
2005-07-25,-0.00712,-0.023,3.5,13.63
2005-07-26,-0.0052,-0.02,3.5,15.77
2005-07-27,0.01763,0.03,3.5,10.85
2005-07-28,-0.00597,0.039,3.5,12.27
2005-07-29,0.00731,-0.037,3.5,11.66
2005-08-01,-0.00662,-0.037,3.5,11.1
2005-08-02,0.00805,0.005,3.5,13.14
2005-08-03,0.00368,0.051,3.5,13.0
2005-08-04,-0.00065,0.036,3.5,10.28
2005-08-05,0.00027,-0.06,3.5,13.03
2005-08-08,-0.00464,-0.021,3.5,11.19
2005-08-09,0.00417,-0.047,3.5,13.02
2005-08-10,-0.00304,-0.021,3.5,14.9
2005-08-11,-0.0092,0.054,3.51,13.69
2005-08-12,-0.00962,-0.067,3.51,13.27
2005-08-15,0.00198,-0.075,3.51,12.21
2005-08-16,0.01323,-0.043,3.51,13.1
2005-08-17,0.00188,0.001,3.5,13.84
2005-08-18,-0.00035,0.015,3.51,13.7
2005-08-19,0.00289,0.007,3.51,12.85
2005-08-22,0.01105,0.037,3.51,13.33
2005-08-23,0.00236,-0.081,3.51,11.03
2005-08-24,-0.00269,0.038,3.51,11.9
2005-08-25,0.00945,-0.022,3.5,14.06
2005-08-26,0.00403,0.019,3.51,14.26
2005-08-29,0.01289,-0.063,3.51,13.14
2005-08-30,0.00207,-0.01,3.51,15.22
2005-08-31,-0.0092,-0.001,3.51,13.76
2005-09-01,-0.01035,0.036,3.51,12.65
2005-09-02,0.01381,-0.073,3.51,11.17
2005-09-05,0.01439,-0.009,3.51,15.16
2005-09-06,-0.00084,-0.053,3.51,14.16
2005-09-07,-0.00247,0.01,3.51,15.7
2005-09-08,0.01229,0.021,3.51,16.25
2005-09-09,-0.00826,0.041,3.51,11.07
2005-09-12,-0.00656,-0.031,3.51,11.07
2005-09-13,0.00575,0.027,3.51,9.0
2005-09-14,-0.00256,0.044,3.51,14.38
2005-09-15,0.00056,-0.076,3.51,13.98
2005-09-16,-0.00071,0.014,3.51,13.15
2005-09-19,0.0033,0.028,3.51,11.16
2005-09-20,0.01186,-0.02,3.51,12.87
2005-09-21,0.00132,-0.058,3.51,13.28
2005-09-22,0.00575,0.028,3.51,14.17
2005-09-23,-0.0158,-0.058,3.51,13.41
2005-09-26,0.00021,-0.017,3.51,14.0
2005-09-27,-0.00615,-0.012,3.51,12.81
2005-09-28,-0.00915,0.019,3.51,14.77
2005-09-29,-0.00643,-0.035,3.51,13.95
2005-09-30,-0.00207,-0.037,3.51,11.22
2005-10-03,0.00793,-0.006,3.51,15.08
2005-10-04,-0.01001,0.03,3.51,14.84
2005-10-05,0.00085,0.081,3.51,13.7
2005-10-06,-0.00327,-0.07,3.51,13.42
2005-10-07,-0.00202,0.003,3.51,15.49
2005-10-10,0.00862,-0.053,3.51,10.55
2005-10-11,0.0049,0.031,3.51,14.86
2005-10-12,0.0113,-0.048,3.51,12.29
2005-10-13,-0.00064,-0.037,3.51,14.64
2005-10-14,-0.00497,-0.034,3.51,13.18
2005-10-17,-0.00119,-0.013,3.51,11.14
2005-10-18,0.00254,0.003,3.51,12.26
2005-10-19,0.00201,0.009,3.51,14.53
2005-10-20,-0.00808,-0.01,3.51,12.68
2005-10-21,0.00132,-0.063,3.51,12.07
2005-10-24,0.00243,0.019,3.51,12.06
2005-10-25,0.02074,-0.012,3.51,13.96
2005-10-26,0.01561,0.036,3.51,15.63
2005-10-27,-0.00623,-0.038,3.51,9.79
2005-10-28,-0.0017,-0.074,3.51,17.2
2005-10-31,-0.01111,-0.011,3.51,13.31
2005-11-01,-0.00413,0.042,3.51,13.87
2005-11-02,0.00312,-0.004,3.51,12.35
2005-11-03,0.01025,-0.018,3.51,12.99
2005-11-04,-0.00523,-0.045,3.51,13.29
2005-11-07,-0.00463,0.06,3.51,11.43
2005-11-08,-0.01658,-0.051,3.51,11.79
2005-11-09,-0.0007,-0.039,3.51,14.78
2005-11-10,-0.0079,0.013,3.51,10.67
2005-11-11,-0.00364,-0.084,3.51,13.66
2005-11-14,-0.00641,0.041,3.51,12.44
2005-11-15,-0.00015,0.015,3.51,11.56
2005-11-16,-0.01346,0.026,3.51,15.96
2005-11-17,-0.01114,0.012,3.51,11.57
2005-11-18,0.01763,-0.016,3.51,11.3
2005-11-21,-0.0097,-0.053,3.51,12.72
2005-11-22,-0.00817,-0.016,3.51,11.85
2005-11-23,0.0153,-0.049,3.51,13.01
2005-11-24,0.02384,0.009,3.51,13.23
2005-11-25,-0.00877,0.022,3.51,13.35
2005-11-28,-0.00235,0.049,3.51,12.81
2005-11-29,0.00333,0.005,3.51,11.95
2005-11-30,0.01443,0.027,3.51,13.97
2005-12-01,-0.00729,-0.022,3.51,12.83
2005-12-02,-0.00136,-0.029,3.51,12.26
2005-12-05,0.00682,0.009,3.51,15.22
2005-12-06,0.00408,-0.025,3.51,12.82
2005-12-07,-0.00241,0.001,3.51,14.64
2005-12-08,-0.00047,-0.052,3.51,14.84
2005-12-09,-0.0104,-0.045,3.51,14.93
2005-12-12,-0.00131,0.015,3.51,14.04
2005-12-13,-0.00153,0.025,3.51,13.0
2005-12-14,0.00246,-0.049,3.51,12.9
2005-12-15,-0.00384,0.017,3.51,12.63
2005-12-16,0.00437,-0.031,3.51,9.75
2005-12-19,0.0087,-0.009,3.51,14.08
2005-12-20,0.00184,0.047,3.51,13.37
2005-12-21,0.00341,0.022,3.51,14.24
2005-12-22,0.00103,0.022,3.51,12.82
2005-12-23,0.0006,0.066,3.51,14.0
2005-12-26,-0.00517,-0.038,3.51,10.93
2005-12-27,0.00313,-0.049,3.51,11.25
2005-12-28,-0.00018,-0.039,3.51,9.29
2005-12-29,0.01735,-0.02,3.51,12.8
2005-12-30,0.01319,-0.104,3.51,11.84
2006-01-02,0.00369,-0.018,3.51,11.64
2006-01-03,-0.0055,-0.032,3.51,13.5
2006-01-04,-0.0083,0.021,3.51,12.36
2006-01-05,0.01013,0.004,3.51,10.85
2006-01-06,0.0027,-0.034,3.51,16.82
2006-01-09,0.00444,0.014,3.51,12.94
2006-01-10,-0.01336,0.019,3.51,11.38
2006-01-11,0.00802,-0.041,3.51,12.0
2006-01-12,0.00424,-0.03,3.51,12.74
2006-01-13,-0.00828,-0.099,3.51,12.74
2006-01-16,-0.00317,-0.054,3.51,14.95
2006-01-17,0.00271,-0.04,3.51,12.88
2006-01-18,0.00102,-0.007,3.51,15.78
2006-01-19,-0.00174,-0.048,3.51,12.35
2006-01-20,-0.00023,-0.031,3.51,13.64
2006-01-23,-0.00142,-0.059,3.51,14.53
2006-01-24,0.00182,-0.003,3.51,14.79
2006-01-25,0.01237,0.007,3.51,14.97
2006-01-26,-0.01993,0.006,3.51,12.59
2006-01-27,-0.00129,-0.01,3.51,12.99
2006-01-30,0.00201,-0.072,3.51,9.28
2006-01-31,0.00297,-0.035,3.51,12.71
2006-02-01,-0.00238,-0.026,3.51,14.64
2006-02-02,-0.01345,-0.026,3.51,14.35
2006-02-03,0.00322,-0.007,3.51,12.87
2006-02-06,0.01442,0.047,3.51,15.55
2006-02-07,-0.01167,0.022,3.51,12.42
2006-02-08,0.00751,-0.05,3.51,11.93
2006-02-09,-0.00203,0.017,3.51,12.3
2006-02-10,0.00011,0.016,3.51,11.32
2006-02-13,-0.00782,-0.042,3.51,13.93
2006-02-14,-0.00208,0.024,3.51,13.43
2006-02-15,0.011,-0.016,3.51,13.91
2006-02-16,0.00526,-0.066,3.51,12.38
2006-02-17,0.01446,0.008,3.51,12.91
2006-02-20,0.01002,-0.001,3.51,9.73
2006-02-21,0.00411,-0.019,3.51,13.56
2006-02-22,0.01455,-0.011,3.51,13.15
2006-02-23,0.00411,-0.039,3.51,11.35
2006-02-24,0.00722,0.014,3.51,12.84
2006-02-27,-0.00177,-0.012,3.51,12.61
2006-02-28,0.00113,-0.003,3.51,15.65
2006-03-01,-0.00498,0.004,3.5,11.41
2006-03-02,0.00852,-0.056,3.5,13.5
2006-03-03,-0.00883,-0.046,3.5,11.36
2006-03-06,0.00686,-0.098,3.5,12.16
2006-03-07,-0.00093,0.013,3.5,13.42
2006-03-08,0.00997,-0.058,3.5,12.68
2006-03-09,0.00661,-0.005,3.51,12.99
2006-03-10,0.01517,0.005,3.5,13.5
2006-03-13,0.00645,0.014,3.5,12.26
2006-03-14,-0.01198,-0.058,3.51,14.33
2006-03-15,6e-05,-0.013,3.51,12.54
2006-03-16,-0.00878,0.057,3.51,12.85
2006-03-17,-0.00355,0.059,3.5,13.54
2006-03-20,0.01269,0.029,3.5,13.34
2006-03-21,0.0057,0.003,3.5,13.97
2006-03-22,-0.00499,-0.05,3.5,13.48
2006-03-23,-0.00751,0.019,3.51,13.7
2006-03-24,0.00086,-0.016,3.51,12.51
2006-03-27,-0.00913,0.012,3.51,11.4
2006-03-28,-0.00477,-0.035,3.51,10.86
2006-03-29,0.0031,-0.017,3.51,10.49
2006-03-30,0.00984,-0.003,3.51,15.64
2006-03-31,0.00547,-0.0,3.51,9.68
2006-04-03,-0.01773,0.01,3.51,14.79
2006-04-04,0.00303,-0.033,3.51,11.77
2006-04-05,0.00118,-0.064,3.51,14.78
2006-04-06,0.00391,0.055,3.51,9.7
2006-04-07,0.01353,0.09,3.51,12.65
2006-04-10,-0.01591,0.008,3.51,15.18
2006-04-11,-0.00413,-0.063,3.51,14.07
2006-04-12,0.00533,-0.041,3.51,12.49
2006-04-13,-0.01205,0.01,3.51,10.09
2006-04-14,0.01241,0.044,3.51,11.02
2006-04-17,0.00355,-0.059,3.51,15.08
2006-04-18,0.00737,-0.015,3.51,12.48
2006-04-19,-0.00397,-0.002,3.51,12.89
2006-04-20,0.00711,0.025,3.51,13.43
2006-04-21,0.00915,-0.024,3.51,11.05
2006-04-24,0.00246,-0.073,3.51,13.61
2006-04-25,0.00248,0.015,3.51,12.37
2006-04-26,0.00276,0.035,3.51,13.44
2006-04-27,-0.00631,-0.013,3.51,12.13
2006-04-28,-0.00058,0.006,3.51,10.64
2006-05-01,-0.00062,-0.029,3.51,12.36
2006-05-02,0.00367,-0.044,3.51,13.96
2006-05-03,0.0086,0.031,3.51,13.59
2006-05-04,-0.00787,0.005,3.51,13.05
2006-05-05,-0.0004,0.01,3.51,14.35
2006-05-08,0.01245,0.05,3.51,12.69
2006-05-09,-0.00535,-0.052,3.51,13.08
2006-05-10,-0.00598,-0.032,3.51,12.28
2006-05-11,0.00222,-0.004,3.51,14.43
2006-05-12,0.00736,-0.033,3.5,13.44
2006-05-15,0.00069,0.021,3.5,12.16
2006-05-16,0.01123,-0.017,3.5,10.77
2006-05-17,0.00745,-0.05,3.5,14.66
2006-05-18,0.00733,-0.007,3.5,11.88
2006-05-19,0.00503,-0.003,3.5,13.11
2006-05-22,0.01922,0.027,3.5,16.53
2006-05-23,-0.00104,0.006,3.5,14.2
2006-05-24,-0.01543,0.008,3.5,15.42
2006-05-25,0.01343,0.003,3.5,12.19
2006-05-26,-0.00306,-0.018,3.5,14.61
2006-05-29,0.00146,-0.039,3.51,13.04
2006-05-30,0.01108,0.002,3.5,13.55
2006-05-31,-0.01222,-0.023,3.5,16.03
2006-06-01,-0.00941,0.058,3.5,12.58
2006-06-02,-0.01221,0.044,3.5,13.03
2006-06-05,-0.00575,0.015,3.5,11.65
2006-06-06,0.00412,0.005,3.5,14.33
2006-06-07,0.00479,-0.014,3.51,12.16
2006-06-08,0.00281,-0.06,3.51,14.53
2006-06-09,-0.0107,-0.019,3.51,10.53
2006-06-12,-0.01788,-0.006,3.51,13.82
2006-06-13,0.00103,-0.001,3.51,12.03
2006-06-14,-0.00317,0.009,3.51,14.1
2006-06-15,0.00428,0.027,3.51,12.98
2006-06-16,0.00622,-0.038,3.51,12.2
2006-06-19,0.00171,-0.037,3.51,12.42
2006-06-20,0.00668,0.048,3.51,11.72
2006-06-21,0.00243,0.021,3.51,14.26
2006-06-22,0.00484,-0.026,3.5,11.43
2006-06-23,-0.00504,-0.014,3.5,12.6
2006-06-26,-0.00084,-0.014,3.5,13.52
2006-06-27,0.00217,-0.009,3.5,15.42
2006-06-28,0.00716,0.009,3.5,12.99
2006-06-29,-0.00255,0.091,3.5,12.64
2006-06-30,0.00477,-0.002,3.5,13.41
2006-07-03,-0.00153,0.017,3.5,9.89
2006-07-04,-0.00034,-0.077,3.5,11.2
2006-07-05,0.00724,-0.029,3.5,12.44
2006-07-06,-0.01534,0.039,3.5,11.93
2006-07-07,-0.00977,0.006,3.5,10.6
2006-07-10,-0.01126,-0.186,3.5,14.29
2006-07-11,-0.01807,0.017,3.5,13.39
2006-07-12,-0.00483,0.067,3.5,13.21
2006-07-13,0.0066,-0.09,3.5,11.96
2006-07-14,-0.00168,0.051,3.5,13.12
2006-07-17,0.00218,-0.121,3.5,13.77
2006-07-18,0.00931,0.028,3.5,12.6
2006-07-19,0.01122,-0.01,3.5,13.67
2006-07-20,5e-05,-0.104,3.5,11.81
2006-07-21,0.01143,0.008,3.5,13.15
2006-07-24,0.00134,0.036,3.5,14.71
2006-07-25,-0.0061,0.005,3.5,14.85
2006-07-26,-0.00416,0.013,3.5,14.99
2006-07-27,-0.01124,-0.026,3.5,13.43
2006-07-28,-0.00651,-0.084,3.5,13.05
2006-07-31,-0.00226,0.018,3.5,12.33
2006-08-01,0.00703,0.06,3.5,10.29
2006-08-02,0.01437,0.035,3.5,10.98
2006-08-03,-0.01046,-0.09,3.5,12.75
2006-08-04,0.00677,-0.091,8.0,27.84
2006-08-07,-0.01903,-0.064,8.01,30.12
2006-08-08,0.00824,-0.094,8.0,29.97
2006-08-09,-0.00266,-0.028,8.0,26.97
2006-08-10,-0.03326,-0.014,8.0,29.23
2006-08-11,0.01641,-0.087,8.0,27.28
2006-08-14,-0.01119,0.001,8.0,29.02
2006-08-15,-0.00991,-0.006,8.0,29.21
2006-08-16,-0.01956,-0.052,8.0,29.86
2006-08-17,-0.01208,-0.037,8.0,27.26
2006-08-18,0.0074,-0.108,8.0,29.52
2006-08-21,-0.00371,-0.043,8.0,25.19
2006-08-22,0.00562,-0.03,8.0,29.94
2006-08-23,0.00621,-0.023,8.0,27.96
2006-08-24,0.02347,-0.015,8.0,27.99
2006-08-25,-0.00647,-0.02,8.0,24.94
2006-08-28,-0.02688,-0.041,8.0,27.42
2006-08-29,0.01891,-0.019,8.0,30.03
2006-08-30,-0.00627,0.01,8.0,27.36
2006-08-31,0.01976,-0.034,8.0,29.07
2006-09-01,0.0066,-0.017,8.0,28.05
2006-09-04,-0.00266,-0.037,8.0,29.59
2006-09-05,0.00598,-0.056,8.0,28.29
2006-09-06,0.03482,-0.009,8.0,26.6
2006-09-07,0.03709,-0.052,8.0,28.08
2006-09-08,0.00095,-0.015,8.0,30.4
2006-09-11,0.00258,-0.029,8.0,28.75
2006-09-12,0.01907,-0.042,8.0,27.83
2006-09-13,-0.01552,-0.043,8.0,31.38
2006-09-14,0.0057,-0.05,8.0,29.74
2006-09-15,-0.00077,-0.096,8.0,29.23
2006-09-18,0.00535,-0.015,8.0,28.48
2006-09-19,-0.0153,-0.021,8.0,29.1
2006-09-20,-0.02891,0.004,8.0,29.14
2006-09-21,-0.03761,-0.051,8.0,24.73
2006-09-22,-0.02041,0.046,8.0,28.59
2006-09-25,-0.00856,-0.045,8.0,27.76
2006-09-26,-0.00558,-0.065,8.0,27.25
2006-09-27,0.03457,-0.07,8.0,27.71
2006-09-28,0.01961,-0.099,8.0,25.67
2006-09-29,-0.01762,0.031,8.0,25.29
2006-10-02,0.00596,0.025,8.0,29.87
2006-10-03,-0.00763,-0.006,8.0,28.69
2006-10-04,-0.00542,-0.066,8.0,24.38
2006-10-05,0.00304,0.042,8.0,27.14
2006-10-06,0.01085,-0.044,8.0,29.32
2006-10-09,-0.00641,-0.041,8.0,27.58
2006-10-10,0.01885,0.027,8.0,29.87
2006-10-11,-0.02085,-0.004,8.0,29.57
2006-10-12,-0.00019,0.058,8.0,25.96
2006-10-13,0.04646,-0.02,8.0,27.79
2006-10-16,0.00372,-0.046,8.0,27.33
2006-10-17,0.0255,-0.054,8.0,25.92
2006-10-18,0.00135,-0.104,8.0,25.82
2006-10-19,0.01015,-0.041,8.0,26.79
2006-10-20,-0.00132,0.016,8.0,27.04
2006-10-23,-0.00337,-0.006,8.0,28.42
2006-10-24,-0.01433,-0.029,8.0,29.57
2006-10-25,0.00745,-0.07,8.0,28.77
2006-10-26,-0.01563,-0.021,8.0,29.13
2006-10-27,0.01168,0.011,8.0,27.6
2006-10-30,0.01924,-0.013,8.0,28.9
2006-10-31,0.0063,-0.023,8.0,27.78
2006-11-01,-0.00545,-0.062,8.0,27.34
2006-11-02,0.00787,0.005,8.0,30.85
2006-11-03,-0.00586,-0.155,8.0,24.5
2006-11-06,0.01654,-0.015,8.0,25.19
2006-11-07,-0.03327,0.073,8.0,28.57
2006-11-08,-0.00634,-0.09,8.0,27.6
2006-11-09,-0.03613,-0.04,8.0,25.84
2006-11-10,-0.02721,-0.03,8.0,26.42
2006-11-13,0.02425,-0.049,8.0,26.61
2006-11-14,0.01581,0.011,8.0,29.34
2006-11-15,-0.01325,-0.011,8.0,29.82
2006-11-16,-0.02735,-0.024,8.0,30.46
2006-11-17,-0.05366,0.002,8.0,25.62
2006-11-20,-0.01008,-0.029,8.0,25.95
2006-11-21,0.04327,0.097,8.0,25.85
2006-11-22,0.00753,-0.024,8.0,29.93
2006-11-23,-0.01037,-0.022,8.0,28.63
2006-11-24,0.00807,-0.098,8.0,28.12
2006-11-27,-0.0284,-0.052,8.0,28.34
2006-11-28,-0.00565,0.016,8.0,27.91
2006-11-29,0.00149,-0.083,8.0,26.32
2006-11-30,-0.00185,-0.116,8.0,28.77
2006-12-01,0.01393,-0.029,8.0,27.72
2006-12-04,0.0059,0.025,8.0,26.2
2006-12-05,0.01173,-0.028,8.0,28.86
2006-12-06,-0.01269,-0.043,8.0,27.36
2006-12-07,0.01586,-0.104,8.0,28.34
2006-12-08,0.02902,-0.012,8.0,27.81
2006-12-11,-0.01776,-0.004,8.0,29.34
2006-12-12,-0.01628,-0.101,8.0,28.33
2006-12-13,0.02374,0.015,8.0,26.67
2006-12-14,-0.00374,0.001,8.0,28.48
2006-12-15,0.02497,0.015,8.0,28.53
2006-12-18,-0.00827,-0.007,8.0,28.77
2006-12-19,0.02589,-0.004,8.0,29.55
2006-12-20,0.00207,-0.009,8.0,27.08
2006-12-21,0.00435,0.005,8.0,29.0
2006-12-22,0.02786,-0.103,8.0,25.41
2006-12-25,-0.00681,-0.09,8.0,27.82
2006-12-26,-0.01724,-0.059,8.0,27.59
2006-12-27,-0.00837,-0.035,8.0,30.17
2006-12-28,0.00784,-0.014,8.0,27.77
2006-12-29,-0.02848,-0.017,8.0,28.91
2007-01-01,0.01117,0.015,8.0,25.36
2007-01-02,-0.01,0.016,8.0,27.47
2007-01-03,0.02036,-0.065,8.0,26.73
2007-01-04,-0.0434,-0.02,8.0,31.71
2007-01-05,-0.01446,-0.064,8.0,27.0
2007-01-08,-0.03066,-0.038,8.0,28.11
2007-01-09,-0.01517,-0.017,8.01,28.19
2007-01-10,0.00416,-0.166,8.01,25.62
2007-01-11,-0.00353,0.066,8.01,27.21
2007-01-12,-0.00486,-0.007,8.0,28.61
2007-01-15,-0.00317,-0.054,8.0,28.13
2007-01-16,0.00336,0.047,8.01,24.55
2007-01-17,-0.01845,-0.044,8.01,27.15
2007-01-18,0.01242,-0.025,8.01,29.53
2007-01-19,0.01163,-0.049,8.0,28.88
2007-01-22,0.00663,0.036,8.0,29.83
2007-01-23,0.00972,-0.034,8.0,26.52
2007-01-24,0.00504,-0.024,8.01,29.92
2007-01-25,0.03633,0.018,8.01,27.93
2007-01-26,-0.00187,-0.007,8.01,30.39
2007-01-29,-0.00583,-0.032,8.01,28.0
2007-01-30,-0.01386,0.014,8.01,24.93
2007-01-31,-0.01888,0.072,8.01,29.27
2007-02-01,-0.0227,-0.017,8.01,27.33
2007-02-02,-0.0163,-0.025,8.01,27.44
2007-02-05,-0.00157,-0.023,8.01,25.82
2007-02-06,0.00572,0.022,8.01,30.43
2007-02-07,0.00062,-0.054,8.01,27.22
2007-02-08,-0.01408,-0.041,8.01,30.36
2007-02-09,0.0159,-0.091,8.01,27.35
2007-02-12,0.01301,-0.077,8.01,26.61
2007-02-13,-0.00317,-0.051,8.01,29.98
2007-02-14,-0.01205,-0.032,8.01,27.89
2007-02-15,0.00957,0.041,8.01,27.9
2007-02-16,0.00308,-0.009,8.01,26.08
2007-02-19,-0.02637,-0.066,8.01,27.31
